ref_id,provenance,date_ce,addressee,petitioner,question_summary_en,greek_excerpt,notes,source
P.Fay. 137,Bakchias (Arsinoites),1st c. CE,Dioskouroi,,Question to the Dioskouroi; content not preserved in our source.,,Non‑Christian; short ticket; image hosted at Yale (APIS).,http://papyri.info/hgv/25721
P.Oxy. 8 1148,Oxyrhynchus,1st c. CE,Serapis (identified with Helios),,Question to the oracle of Serapis; contents not specified in the record.,,Non‑Christian; tiny ticket.,https://ipap.csad.ox.ac.uk/4DLink4/4DACTION/IPAPwebquery?vNum=1148&vPub=P.Oxy.&vVol=8
P.Oxy. 74 5017,Oxyrhynchus,1st–2nd c. CE,Zeus Helios Sarapis & synnaoi gods,Euphoros,Asks if he will recover (health).,"Διὶ Ἡλίῳ μεγάλῳ Σαράπιδι καὶ τοῖς συννάοις θεοῖς. ἀξιοῖ Εὔφορος, εἰ ἀνακτήσωμαι, τοῦτό μοι δός.",Non‑Christian ticket oracle.,http://papyri.info/ddbdp/p.oxy;74;5017
P.Oxy. 74 5018,Oxyrhynchus,2nd c. CE,Zeus Helios Sarapis & synnaoi gods,,Asks whether it is advantageous to dissolve/withdraw a judgment (per editors).,,Non‑Christian ticket oracle.,https://papyri.info/search?COLLECTION=ddbdp&SERIES=p.oxy&VOLUME=74&page=3
BGU I 229,Soknopaiou Nesos (Dimeh),1st–3rd c. CE,Soknopaios (and perhaps Sokonpieios),,Ticket oracle; duplicate also published as BGU I 230.,,Non‑Christian; two exemplars survive in Berlin.,http://papyri.info/ddbdp/bgu;1;229
BGU I 230,Soknopaiou Nesos (Dimeh),2nd–3rd c. CE,Soknopaios,,Duplicate of BGU I 229 (same question).,,Non‑Christian; explicit duplicate per editors.,http://papyri.info/ddbdp/bgu;1;230
P.Oxy. 9 1213,Oxyrhynchus,2nd c. CE,Zeus Helios Sarapis & synnaoi gods,Menandros,“Is it granted me to marry?”,[Διὶ Ἡ]λίῳ μεγάλῳ Σαράπιδι [καὶ] τοῖς συννάοις [θε]οῖς. ἀξιοῖ Μένανδρος [εἰ] δέδοταί μοι γαμῆσαι. [τοῦ]το μοι δός.,Non‑Christian; classic marriage inquiry.,http://papyri.info/ddbdp/p.oxy;9;1213
P.Oxy. 42 3078,Oxyrhynchus,2nd c. CE,Helios Sarapis Nikaphoros,,Seeks permission to use Herminos (of Hermopolis) as a doctor for an eye condition.,"Διὶ Ἡλίωι Σαράπιδι Νικαφόρωι. εἰ ἐπιτρέπεις μοι χρήσασθαι Ἑρμείνωι Ἑρμοπολίτηι ἰατρῶι πρὸς θεραπείαν τῶν ὀφθαλμῶν, καὶ τοῦτό μοι συμφέρει, τοῦτό μοι δός.",Non‑Christian; medical consultation via oracle.,http://papyri.info/ddbdp/p.oxy;42;3078
SB 26 16731,Likely Soknopaiou Nesos (Fayum),Roman period (undated),Soknopaios & Ammon,Sotas,Asks whether the nomarch will be angry or examine him because he writes Valerius’ pittakia.,"Κυρίῳ Σοκνοπαίῳ θεῷ μεγάλῳ καὶ Ἄμμωνι, θεοῖς μεγίστοις· ἀξιοῖ Σώτας, εἰ οὐ μέλλει ὁ νομάρχης ἐμαυτοῦ ἀγανακτεῖν ἢ ἐξετάζει τὰ κατ’ ἐμέ, ὅτι τὰ πιττάκια Οὐαλερίου ἐγὼ γράφω, τοῦτό μοι δός.",Non‑Christian; administrative anxiety.,http://papyri.info/trismegistos/88400
P.Oxy. 8 1149,Oxyrhynchus,2nd c. CE,Zeus Helios Serapis & synnaoi gods,Nike,Asks if it is advantageous to buy a slave named Sarapion from Tasarapion.,,Non‑Christian; keep (we excluded the sexualized 74.5019).,https://dpul.princeton.edu/papyri/catalog/3t945v281
